source,target,relation_count,relations,model_count,models,documents,example_evidence
Freedom houses,Student Nonviolent Coordinating Committee,3,associated_with; member_of; organised,3,arc_apex; arc_lite; qwen_plus,s41599-024-03182-3,"Freedom houses sometimes operated as integrated homes, where SNCC activists modeled a society || SNCC used the name Freedom house to refer to: (1) structures rented to house civil rights workers || The third and ﬁnal case of SNCC’s onomastic tactics focuses on one of the most common practices of name changing during the Civil Rights Movement—applying the word “Freedom” to a wide range of places, institutions, organizations, and practices. These included Freedom schools... || SNCC’s freedom naming practices— when viewed as part of a larger assemblage of diverse elements constituting activism—worked to frame the affective environment in which civil rights struggles developed and were sustained. living rooms, “Freedom houses” || Freedom houses were indicative of the new kind of place that SNCC wished to create"
Julian Bond,Student Nonviolent Coordinating Committee,3,associated_with; leader_of; member_of,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment; s41599-024-03182-3,Julian Bond described organizers as a 'protective barrier' in 'SNCC: What we did' || SNCC’s Julian Bond || Julian Bond and Mary King—who headed up SNCC’s telephone network || SNCC’s Julian Bond
Martin Luther King Jr.,Civil Rights Movement,3,influenced_by; leader_of; participated_in,3,arc_apex; arc_lite; qwen_plus,Hughes; JAS - MLK teaching UK schools; M12_Frost; MorrisAnnRev1999CRM; s41599-024-03182-3; the-dark-and-sad-days-of-reconstruction-the-politics-of-memory-in-the-civil-rights-era,"biographies of leaders, especially Reverend Martin Luther King, Jr || King had been radicalized by the movement itself || He was involved in most of its significant events. || ""led"" by King, the Kennedy brothers, and Lyndon Johnson || The protest movement, led by the brilliant and eloquent Dr. Martin Luther King || the majority of students only mentioned King as a leader of the Movement || the role and leadership of Martin Luther King"
Martin Luther King Jr.,Newcastle upon Tyne,3,associated_with; connected_to; located_in,3,arc_apex; arc_lite; qwen_plus,JAS - MLK teaching UK schools; Modjeska Monteith Simkins and black female leadership  propriety  politics  place and periodization in the African American freedom struggle,King’s Newcastle visit || King's 1967 visit to Newcastle upon Tyne || King's visit to Newcastle || Newcastle University's award of an honorary doctorate to Martin Luther King in November 1967 || Martin Luther King in Newcastle: The African American Freedom Struggle and Race Relations in the North East of England (Newcastle upon Tyne || Martin Luther King in Newcastle upon Tyne: The African American Freedom Struggle and Race Relations in the North East of England
Martin Luther King Jr.,Southern Christian Leadership Conference,3,associated_with; leader_of; member_of,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida; Hughes; JAS - MLK teaching UK schools; MorrisAnnRev1999CRM; s41599-024-03182-3,"Smathers... suspected that the SCLC faked the attack || the Southern Christian Leadership Conference under Martin Luther King, Jr || Martin Luther King and the Southern Christian Leadership Conference || Bearing the Cross: Martin Luther King and the Southern Christian Leadership Conference"
Martin Luther King Jr.,St Augustine,3,associated_with; located_in; participated_in,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida,"Someone with a shotgun fired a dozen shots into the beach home where Martin Luther King, Jr, was staying || returned to a cell in St Augustine || Martin Luther King and 17 others jailed trying to integrate St Augus- tine restaurant || Martin Luther King and 17 others jailed trying to integrate St Augustine restaurant || Martin Luther King to rank St Augustine as ‘the most lawless city I’ve ever been in.’"
Martin Luther King Jr.,Watts,3,connected_to; influenced_by; participated_in,3,arc_apex; arc_lite; qwen_plus,JAS - MLK teaching UK schools,What was the impact of Watts upon Martin Luther King? || What was the impact of Watts upon Martin Luther King? || What was the impact of Watts upon Martin Luther King?
Modjeska Monteith Simkins,NAACP Richland County Citizens Committee,3,associated_with; leader_of; member_of,3,arc_apex; arc_lite; qwen_plus,Modjeska Monteith Simkins and black female leadership  propriety  politics  place and periodization in the African American freedom struggle,"RCCC Radio Programme, 15 March 1972, 1–2: Simkins Papers, Topical Papers: NAACP Richland County Citizens Committee || RCCC Radio Programme, 17 January 1968, 4: Simkins Papers, Topical Papers: NAACP Richland County Citizens Committee, 1968 || RCCC Radio Programme, 7 June 1972, 1: Simkins Papers, Topical Papers: NAACP Richland County Citizens Committee || RCCC Radio Programme... Simkins Papers, Topical Papers: NAACP Richland County Citizens Committee || Simkins Papers, Topical Papers: NAACP Richland County Citizens Committee || Simkins's WOIC broadcasts and work with the RCCC reflected her bellicose spirit || That turnout was partly due to Simkins and the RCCC. || Simkins announced that the RCCC intended to 'emphasize the importance of increased voter registration' || Simkins formally announced the RCCC's opposition to the Vietnam War || Simkins Papers, Topical Papers: NAACP Richland County Citizens Committee || Simkins formally announced the RCCC’s opposition to the Vietnam War. || Simkins reminded listeners, the organization has waged hardline confrontation || Simkins tried to dispel the idea that South Carolina Blacks voted ‘Like Sheep’. In a spring 1972 broadcast, Simkins announced that the RCCC intended to ‘emphasize the importance of increased voter registration..."
Modjeska Monteith Simkins,Roy Wilkins,3,associated_with; collaborated_with; connected_to,3,arc_apex; arc_lite; qwen_plus,Modjeska Monteith Simkins and black female leadership  propriety  politics  place and periodization in the African American freedom struggle,"Letter from Modjeska Simkins to Roy Wilkins, 6 February 1956 || In February 1956 Simkins wrote to Roy Wilkins, bluntly informing the NAACP’s Executive Secretary || Letter from Modjeska Simkins to Roy Wilkins || Letter from Modjeska Simkins to Roy Wilkins, 6 February 1956"
Ruby Doris Smith Robinson,Sojourner Truth Motor Fleet,3,associated_with; leader_of; organised,3,arc_apex; arc_lite; qwen_plus,s41599-024-03182-3,SNCC leaders such as Robinson to rename their subversive transportation system... The example of the Sojourner Motor Fleet || Ruby Doris Smith Robinson established and shrewdly managed the car system || Ruby Doris Smith Robinson established and shrewdly managed the car system || Black female activist Ruby Doris Smith Robinson established and shrewdly managed the car system || The decision of SNCC leaders such as Robinson to rename their subversive transportation system for Sojourner Truth
sit-in movement,Student Nonviolent Coordinating Committee,3,associated_with; connected_to; organised,3,arc_apex; arc_lite; qwen_plus,MorrisAnnRev1999CRM,The sit-in movement was also critical because it led to the formation of the Student Nonviolent Coordination Committee (SNCC) || The sit-in movement was also critical because it led to the formation of the Student Nonviolent Coordination Committee (SNCC) || The sit-in tactic was innovative because other tactics spun off of it... The sit-in movement was also critical because it led to the formation of the Student Nonviolent Coordination Committee (SNCC)
Black Power Movement,Civil Rights Movement,3,associated_with; influenced_by; opposed_to,2,arc_apex; arc_lite,Hughes; JAS - MLK teaching UK schools; The Black Power Movement  A historiographical understanding of how scholarship has shaped the legacy of the Black Power Movement,"the positive contributions of the Black Power movement || Consistently presented as the heroic early movement's more militant, more violent, less temperate descendent || This is contrary to the mainstream narrative of scholarship surrounding the Civil Rights Movement || a legacy of the Black Power Movement, which was more apt to use violence and force to create change in contrast to the civil rights protests || describing it as an extension of the Civil Rights Movement || the BPM [black power movement] can be conveniently blamed for the demise of the Civil Rights Movement"
Dave Dennis,Mississippi Freedom Summer,3,associated_with; leader_of; participated_in,2,arc_apex; arc_lite,Intergenerational movement memoirs and the emotional costs of activist commitment,"Unsung heroes of 1964 Mississippi Freedom Summer || COFO's Mississippi Freedom Summer campaign, which he co-led || which he co-led || Council of Federation Organizations’ (COFO) Mississippi Freedom Summer campaign, which he co-led || the Council of Federation Organizations’ (COFO) Mississippi Freedom Summer campaign, which he co-led"
Martin Luther King Jr.,Montgomery Bus Boycott,3,associated_with; leader_of; participated_in,2,arc_apex; qwen_plus,JAS - MLK teaching UK schools; MorrisAnnRev1999CRM,"King-centric narrative, in which the 1955 bus boycott in Montgomery, Alabama || A young Black minister, Martin Luther King, Jr., who came to personify the role of charismatic leader, was chosen to lead the movement. || connections between the Montgomery bus boycott, the March on Washington and the Bristol bus boycott"
Martin Luther King Jr.,Poor People's Campaign,3,associated_with; leader_of; organised,2,arc_apex; qwen_plus,Hughes; JAS - MLK teaching UK schools,"King and the Other America: The poor people's campaign and the quest for economic equality || King and the Other America: The Poor People's Campaign and the Quest for Economic Equality || King's work on the Poor People's Campaign, which occupied the last eighteen months of his life || Sylvie Laurent, King and the Other America: The Poor People’s Campaign and the Quest for Economic Equality"
A. Philip Randolph,March on Washington Movement,2,leader_of; organised,3,arc_apex; arc_lite; qwen_plus,MorrisAnnRev1999CRM,A Philip Randolph organized the March on Washington Movement (MOWM) || A Philip Randolph's March On Washington Movement (MOWM) || A Philip Randolph(cid:146)s March On Washington Movement (MOWM) || In the early 1940s A Philip Randolph organized the March on Washington Movement (MOWM). || A Philip Randolph's March On Washington Movement (MOWM)
A. Philip Randolph,March on Washington for Jobs and Freedom,2,organised; participated_in,3,arc_apex; arc_lite; qwen_plus,Hughes; JAS - MLK teaching UK schools; the-dark-and-sad-days-of-reconstruction-the-politics-of-memory-in-the-civil-rights-era,"the March, co-organized by eminent labour leader A. Philip Randolph || These images included photographs of such figures as A. Philip Randolph... and the March on Washington for Jobs and Freedom || the March, co-organized by eminent labour leader A. Philip Randolph || In his speech at the March on Washington in August 1963, John Lewis, the young leader of the Student Non Violent Coordinating Committee (SNCC), criticized President John F. Kennedy’s proposed civil rights bill..."
"Albany, Georgia",Southern Christian Leadership Conference,2,associated_with; participated_in,3,arc_apex; arc_lite; qwen_plus,MorrisAnnRev1999CRM,"Albany, Georgia in 1962 when the movement failed to reach its goals because of the conflict between SCLC and SNCC || the conflict between SCLC and SNCC (see Morris 1984:239(cid:150)250). By ex- amining the civil rights movement, Haines (1984) demonstrated how interor- ganizational relations between SMOs can affect the outcomes of a movement... in 1962 Albany, Georgia || Albany, Georgia in 1962 when the movement failed to reach its goals because of the conflict between SCLC and SNCC"
"Albany, Georgia",Student Nonviolent Coordinating Committee,2,associated_with; participated_in,3,arc_apex; arc_lite; qwen_plus,MorrisAnnRev1999CRM; s41599-024-03182-3,"Albany, Georgia in 1962 when the movement failed to reach its goals because of the conflict between SCLC and SNCC || the conflict between SCLC and SNCC (see Morris 1984:239(cid:150)250). By ex- amining the civil rights movement, Haines (1984) demonstrated how interor- ganizational relations between SMOs can affect the outcomes of a movement... in 1962 Albany, Georgia || and even a Freedom Alley in Albany, Georgia. ... SNCC’s naming and narrative practices were important cultural moorings || Albany, Georgia in 1962 when the movement failed to reach its goals because of the conflict between SCLC and SNCC"
Alvin J. Bronstein,Congress of Racial Equality,2,associated_with; member_of,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida,he served for nearly half a decade as general counsel to the Brooklyn branch of CORE || he served for nearly half a decade as general counsel to the Brooklyn branch of CORE. || he served for nearly half a decade as general counsel to the Brooklyn branch of CORE
Alvin J. Bronstein,Freedom Rides,2,associated_with; participated_in,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida,"when some of the Brooklyn members were arrested as Freedom Riders, Bronstein went to Mississippi to defend them || In 1961, when some of the Brooklyn members were arrested as Freedom Riders, Bronstein went to Mississippi to defend them. || Simon and two other Miami attorneys assisted Rachlin. || In 1961, when some of the Brooklyn members were arrested as Freedom Riders, Bronstein went to Mississippi to defend them"
Alvin J. Bronstein,Southern Christian Leadership Conference,2,associated_with; collaborated_with,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida,"In attracting lawyers like Kunstler and Alvin J. Bronstein to assist Simon, the SCLC campaign || In August 1964 he filed lawsuits on behalf of the SCLC || He was even willing to violate judicial propriety by asking Alvin Bronstein to file legal claims against the white extremists. In addition to Simon, who worked pro bono for the SCLC || In August 1964 he filed lawsuits on behalf of the SCLC || In attracting lawyers like Kunstler and Alvin J. Bronstein to assist Simon, the SCLC campaign contributed noticeably"
Alvin J. Bronstein,Tobias Simon,2,associated_with; collaborated_with,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida,Alvin J. Bronstein to assist Simon || In attracting lawyers like Kunstler and Alvin J. Bronstein to assist Simon || Tobias Simon (aliases: Tobias Simon) is listed in the entity list alongside Alvin Bronstein but no direct relationship is stated in the text
Bayard Rustin,March on Washington for Jobs and Freedom,2,organised; participated_in,3,arc_apex; arc_lite; qwen_plus,Hughes; JAS - MLK teaching UK schools,"co-organized by eminent labour leader A. Philip Randolph and socialist intellectual Bayard Rustin || These images included photographs of such figures as... Bayard Rustin... and the March on Washington for Jobs and Freedom || the March, co-organized by... Bayard Rustin || The images associated with the conventional narrative of the movement, plus duplications from the primary source packet, meant that only about 12 per cent of the images provided by the students in Group B represented new selections that reflected a more revisionist interpretation of the movement. These images included photographs of such figures as A. Philip Randolph, Bayard Rustin, Richard Nixon and J. Edgar Hoover, as well as references to abolitionism, the 13th Amendment, race riots in 1919, and 2014 protests about the police shooting in Ferguson, Missouri."
Bayard Rustin,United Federation of Teachers,2,associated_with; opposed_to,3,arc_apex; arc_lite; qwen_plus,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,bor unions put him on the side of the mostly white United Federation of Teachers and against the mostly black opponents of the union || put him on the side of the mostly white United Federation of Teachers || Rustin’s steadfast belief in strong labor unions put him on the side of the mostly white United Federation of Teachers || bor unions put him on the side of the mostly white United Federation of Teachers and against the mostly black opponents of the union. || Rustin’s steadfast belief in strong labor unions put him on the side of the mostly white United Federation of Teachers
Bristol Bus Boycott,Martin Luther King Jr.,2,associated_with; influenced_by,3,arc_apex; arc_lite; qwen_plus,JAS - MLK teaching UK schools,"concurrent but largely forgotten events in the UK that echoed King's rhetoric and tactics, such as the 1963 Bristol Bus Boycott || She draws attention to concurrent but largely forgotten events in the UK that echoed King’s rhetoric and tactics, such as the 1963 Bristol Bus Boycott || she draws attention to concurrent but largely forgotten events in the UK that echoed King’s rhetoric and tactics, such as the 1963 Bristol Bus Boycott"
Carl Rachlin,Congress of Racial Equality,2,associated_with; member_of,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida,attorney Carl Rachlin of CORE || attorney Carl Rachlin of CORE || in 1963 attorney Carl Rachlin of CORE argued his case before the Supreme Court
Charles Billups,Chicago,2,associated_with; located_in,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment,The family left Birmingham for Chicago in 1966 || Reverend Billups was murdered by an unknown gunman in Chicago || Reverend Billups was murdered by an unknown gunman in Chicago in 1968 || The family left Birmingham for Chicago in 1966
Charles Billups,Martin Luther King Jr.,2,associated_with; collaborated_with,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment,My Life with Charles Billups and Martin Luther King || belonged to King’s inner circle in the SCLC || My Life with Charles Billups and Martin Luther King || belonged to King’s inner circle in the SCLC
Civil Rights Act 1964,St Augustine,2,associated_with; connected_to,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida,compliance with the Civil Rights Act was at first begrudging || the crisis in St Augustine that spring and summer served as the inescapable backdrop for the passage of the Civil Rights Act (1964) || compliance with the Civil Rights Act was at first begrudging. Some restaurateurs in St Augustine placed signs || the crisis in St Augustine that spring and summer served as the inescapable backdrop for the passage of the Civil Rights Act (1964) || the crisis in St Augustine that spring and summer served as the inescapable backdrop for the passage of the Civil Rights Act (1964)
Civil Rights Movement,Montgomery Bus Boycott,2,associated_with; connected_to,3,arc_apex; arc_lite; qwen_plus,JAS - MLK teaching UK schools; M12_Frost; Modjeska Monteith Simkins and black female leadership  propriety  politics  place and periodization in the African American freedom struggle; MorrisAnnRev1999CRM; s41599-024-03182-3,"marks 'the real start of the US civil rights movement' || using either Brown v. Board of Education or the Montgomery bus boycott as the starting point || the Montgomery bus boycott and the early Civil Rights Movement || RETROSPECTIVE ON CIVIL RIGHTS MOVEMENT 525 || The 1955 Montgomery, Alabama, year-long mass-based bus boycott and the unfolding decade of Black protest changed all this."
Congress of Racial Equality,Tobias Simon,2,associated_with; collaborated_with,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida,"Simon quickly became one of the South's extremely few white lawyers willing to help CORE. || Simon quickly became one of the South’s extremely few white lawyers willing to help CORE. || August Meier and Elliott Rudwick, CORE: A Study of the Civil Rights Movement, 1942–1968 (New York and Oxford: Oxford University Press 1973), 283."
Dave Dennis,Council of Federated Organizations,2,leader_of; member_of,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment,"as an organizer in Louisiana and Mississippi with CORE and COFO until 1965 || the Council of Federation Organizations’ (COFO) Mississippi Freedom Summer campaign, which he co-led, the Congress of Racial Equality’s (CORE) David Dennis || as an organizer in Louisiana and Mississippi with CORE and COFO || COFO's Mississippi Freedom Summer campaign, which he co-led"
Dave Dennis,National Association for the Advancement of Colored People,2,associated_with; member_of,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment,"he wrote a NAACP newsletter in his hometown of Shreveport || he wrote a NAACP newsletter || the NAACP’s representative in Mississippi, in June 1963, Dennis’s faith in the movement was shaken to the core || he wrote a NAACP newsletter in his hometown of Shreveport. Louisiana"
Ella Baker,Civil Rights Movement,2,leader_of; participated_in,3,arc_apex; arc_lite; qwen_plus,M12_Frost; MorrisAnnRev1999CRM,"The expertise of leaders such as Ella Baker, A Philip Randolph, Bayard Rustin, and Septima Clark supplied the movement with vision and technical knowledge pertaining to collective action. || The expertise of leaders such as Ella Baker... supplied the movement with vision and technical knowledge || long-time activist Ella Baker contended, “Martin didn’t make the movement, the movement made Martin.” || Black leaders from previous movements played important roles in the civil rights movement. The expertise of leaders such as Ella Baker, A Philip Randolph, Bayard Rustin, and Septima Clark supplied the movement with vision and technical knowledge pertaining to collective action. || Parks' resistance and civil rights activity were not unlike those of countless Black women such as Ella Baker, Septima Clark, Fannie Lou Hamer"
Ella Baker,Student Nonviolent Coordinating Committee,2,leader_of; member_of,3,arc_apex; arc_lite; qwen_plus,s41599-024-03182-3,"its founder and advisor Ella Baker || some of SNCC’s most noted women leaders... named for Ella Baker || the organization was heavily inﬂuenced by the political philosophy of its founder and advisor Ella Baker || SNCC was heavily influenced by the political philosophy of its founder and advisor Ella Baker || unlike other more male-dominated civil rights organizations at the time, women played a key role in SNCC’s founding and operation"
Fannie Lou Hamer,Mennonite House,2,associated_with; located_in,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment,she spent time in the Mennonite House || she spent time in the Mennonite House || she spent time in the Mennonite House
Freedom Singers,Student Nonviolent Coordinating Committee,2,associated_with; member_of,3,arc_apex; arc_lite; qwen_plus,s41599-024-03182-3,the job of the Freedom Singers was to raise money for SNCC and educate the public of its grassroots campaigns for civil rights || The formation of the Freedom Singers in 1962 reﬂected SNCC’s recognition of the power of music as a mobilization tool || While ostensibly the job of the Freedom Singers was to raise money for SNCC || While ostensibly the job of the Freedom Singers was to raise money for SNCC and educate the public of its grassroots campaigns for civil rights
Harry Belafonte,Student Nonviolent Coordinating Committee,2,associated_with; connected_to,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment,"Harry Belafonte wrote of activist members of the Student Nonviolent Coordinating Committee (SNCC) || In an open letter designed to drive funding, Harry Belafonte wrote of activist members of the Student Nonviolent Coordinating Committee (SNCC) || In an open letter designed to drive funding, Harry Belafonte wrote of activist members of the Student Nonviolent Coordinating Committee (SNCC) || Harry Belafonte wrote of activist members of the Student Nonviolent Coordinating Committee (SNCC)"
Israel S. (Sy) Dresner,Martin Luther King Jr.,2,associated_with; collaborated_with,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida,"King sent a letter to Dresner, asking him to recruit his colleagues to come to the city || Rabbi Israel Dresner, civil rights champion who befriended King || Rabbi Israel Dresner, civil rights champion who befriended King || King sent a letter to Dresner, asking him to recruit his colleagues to come to the city to heighten public attention to the struggle"
Israel S. (Sy) Dresner,St Augustine,2,located_in; participated_in,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida,"On 18 June, Dresner and fifteen other rabbis arrived || On 18 June, Dresner and fifteen other rabbis arrived... The 245 Jews who lived in St Augustine generally restrained their enthusiasm || On 18 June, Dresner and fifteen other rabbis arrived"
James Lawson,Martin Luther King Jr.,2,associated_with; collaborated_with,3,arc_apex; arc_lite; qwen_plus,MorrisAnnRev1999CRM,"As James Lawson put it, (cid:147)Any time King went to a movement, immediately the focus of the nation was on that community || As James Lawson put it, 'Any time King went to a movement, immediately the focus of the nation was on that community' || As James Lawson put it, 'Any time King went to a movement, immediately the focus of the nation was on that community'"
